macaque_cluster	primate_class	primate_neighborhood	primate_subclass	homology_neighborhood	homology_class	homology_subclass	homology_supertype	NOTES_NJJ		AIT21_neighborhood	AIT21_class	AIT21_subclass	AIT21_supertype	AIT21_cluster	size
10_NN	Nonneuron	Astrocytes	Astrocytes	NN-IMN-GC	Astro-Epen	Astro-NT NN				NN-IMN-GC	Astro-Epen	Astro-NT NN(0.87)| Astro-TE NN(0.06)| Astro-CB NN(0.06)	Astro-NT NN_2(0.52)| Astro-NT NN_1(0.35)| Astro-CB NN_1(0.06)	5214 Astro-NT NN_2(0.48)| 5212 Astro-NT NN_1(0.32)| 5207 Astro-CB NN_1(0.06)	1849
14_NN	Nonneuron	Astrocytes	Astrocytes	NN-IMN-GC	Astro-Epen	Astro-NT NN				NN-IMN-GC	Astro-Epen	Astro-NT NN(0.89)| Astro-TE NN(0.07)	Astro-NT NN_2(0.77)| Astro-NT NN_1(0.11)| Astro-TE NN_3(0.07)	5214 Astro-NT NN_2(0.75)| 5212 Astro-NT NN_1(0.1)| 5225 Astro-TE NN_3(0.07)	61
15_NN	Nonneuron	Astrocytes	Astrocytes	NN-IMN-GC	Astro-Epen	Astro-NT NN				NN-IMN-GC	Astro-Epen	Astro-NT NN(1.0)	Astro-NT NN_2	5214 Astro-NT NN_2(0.94)	2018
16_NN	Nonneuron	Astrocytes	Astrocytes	NN-IMN-GC	Astro-Epen	Astro-NT NN				NN-IMN-GC	Astro-Epen	Astro-NT NN	Astro-NT NN_2(0.97)	5214 Astro-NT NN_2(0.89)| 5216 Astro-NT NN_2(0.06)	3903
3_NN	Nonneuron	Astrocytes	Astrocytes	NN-IMN-GC	Astro-Epen	Astro-TE NN				NN-IMN-GC	Astro-Epen	Astro-TE NN(0.8)| Astro-NT NN(0.18)	Astro-TE NN_3(0.8)| Astro-NT NN_2(0.18)	5225 Astro-TE NN_3(0.59)| 5214 Astro-NT NN_2(0.17)| 5226 Astro-TE NN_3(0.12)| 5227 Astro-TE NN_3(0.1)	4063
4_NN	Nonneuron	Astrocytes	Astrocytes	NN-IMN-GC	Astro-Epen	Astro-NT NN				NN-IMN-GC	Astro-Epen	Astro-NT NN(0.9)| Astro-TE NN(0.08)	Astro-NT NN_2(0.9)| Astro-TE NN_3(0.08)	5214 Astro-NT NN_2(0.89)| 5225 Astro-TE NN_3(0.06)	1055
5_NN	Nonneuron	Astrocytes	Astrocytes	NN-IMN-GC	Astro-Epen	Astro-TE NN				NN-IMN-GC	Astro-Epen	Astro-TE NN(0.68)| Astro-NT NN(0.28)	Astro-TE NN_3(0.68)| Astro-NT NN_2(0.28)	5225 Astro-TE NN_3(0.57)| 5214 Astro-NT NN_2(0.25)| 5227 Astro-TE NN_3(0.07)	1669
41_IN	Interneuron	CCK	CCK-FBXL7	Subpallium-GABA	CTX-MGE GABA	Lamp5 Lhx6 Gaba		Cortical? MERSCOPE supports cortical.		Subpallium-GABA(0.96)	CTX-MGE GABA(0.57)| CTX-CGE GABA(0.33)| CNU-MGE GABA(0.07)	Lamp5 Lhx6 Gaba(0.51)| Lamp5 Gaba(0.29)| STR Prox1 Lhx6 Gaba(0.07)	Lamp5 Lhx6 Gaba_1(0.51)| Lamp5 Gaba_1(0.23)| STR Prox1 Lhx6 Gaba_1(0.06)	0724 Lamp5 Lhx6 Gaba_1(0.33)| 0710 Lamp5 Gaba_1(0.14)| 0725 Lamp5 Lhx6 Gaba_1(0.14)	457
42_IN	Interneuron	CCK	CCK-FBXL7	Subpallium-GABA	CTX-MGE GABA	Lamp5 Lhx6 Gaba		Cortical? MERSCOPE supports cortical.		Subpallium-GABA(0.95)	CTX-MGE GABA(0.48)| CTX-CGE GABA(0.41)| CNU-MGE GABA(0.06)	Lamp5 Lhx6 Gaba(0.46)| Lamp5 Gaba(0.39)	Lamp5 Lhx6 Gaba_1(0.46)| Lamp5 Gaba_1(0.31)| Lamp5 Gaba_2(0.08)	0724 Lamp5 Lhx6 Gaba_1(0.41)| 0710 Lamp5 Gaba_1(0.15)| 0718 Lamp5 Gaba_2(0.08)| 0706 Lamp5 Gaba_1(0.07)	369
70_IN	Interneuron	CCK	CCK-FBXL7	Subpallium-GABA	CTX-MGE GABA	Lamp5 Gaba		Cortical? MERSCOPE supports cortical.		Subpallium-GABA(0.92)	CTX-CGE GABA(0.85)| CTX-MGE GABA(0.06)	Lamp5 Gaba(0.77)| RHP-COA Ndnf Gaba(0.06)	Lamp5 Gaba_2(0.44)| Lamp5 Gaba_1(0.31)	0718 Lamp5 Gaba_2(0.43)| 0708 Lamp5 Gaba_1(0.13)| 0706 Lamp5 Gaba_1(0.11)	1527
